Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Project_Name,Start_Date,Cost_Variance,PlannedCost,Updated_Date,Planned_Duration,Project_delay,Start_days_after_2000
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2829,SR 20093089 Telecommunications Ordering Project,2010-04-12,0.0,0.14,810,802.0,38.0,3754
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2830,SR 20104088 Server Virtualization,2010-08-06,0.0,0.15,726,665.0,0.0,3870
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2831,SR 20115333 gEMS Domino Application Migration,2011-04-29,0.0,0.3,460,543.0,434.0,4136
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2832,SR 20115292 Disaster Recovery Investigation,2011-06-30,0.0,0.5,398,508.0,0.0,4198
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2833,SR 20071820 Data Center Initiative Migration,2007-06-01,0.0,0.5,1613,1766.0,3.0,2708
005-000000098,394,5,Department of Agriculture,Forest Service Computer Base,2834,SR 20071820 Network upgrade for Data Center Initiative,2009-03-02,0.0,0.1,1216,1127.0,29.0,3348
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1946,CLP PMO Support and Documentation,2010-01-04,0.131727,23.764871,878,998.0,4385.0,3656
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1950,Penetration Testing,2011-04-01,0.0,0.498987,426,175.0,553.0,4108
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1954,CLP Integration,2010-08-31,0.05424,2.495101,577,395.0,10.0,3895
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1956,CLP Maintenance,2010-10-01,0.0,27.728684,546,728.0,4385.0,3926
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1741,DWDS,2011-07-18,0.126131,3.795235,380,365.0,0.0,4216
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1743,FMRS,2011-07-01,0.007382,0.670791,242,183.0,0.0,4199
005-000002340,841,5,Department of Agriculture,Enterprise Information Management (EIM) #119,1744,EIMPMO,2011-06-03,0.293629,4.88587,425,365.0,0.0,4171
005-000002376,1099,5,Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),1090,CDSI FY'12 Phase 1 Plan & Dev,2011-10-03,0.0,9.712,148,179.0,1.0,4293
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1230,Balance of Payments Process Modernization,2011-08-20,0.402,1.24,314,407.0,0.0,4249
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1231,National Accounts Modernization,2011-08-20,-0.013,0.4,314,224.0,0.0,4249
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1235,FY 11 Releases,2010-10-01,-0.001,2.424,388,364.0,0.0,3926
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1236,FY11 Controls Testing,2010-10-01,0.0,0.13,388,364.0,0.0,3926
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1237,FY12 Releases,2011-10-01,0.34,9.76,303,365.0,0.0,4291
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1238,FY12 Controls Testing,2011-10-01,0.0,0.6,303,365.0,0.0,4291
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1239,Consolidated Infrastructure Logging,2011-08-15,-0.01,0.175,255,229.0,0.0,4244
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1240,DNSSEC,2011-09-01,0.0,0.03,176,121.0,0.0,4261
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2886,Cross Survey Data Validation,2012-01-03,0.0512,0.532,209,269.0,0.0,4385
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2887,Seasonal Adjustment,2012-01-03,0.147,0.35,178,178.0,91.0,4385
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2888,Tabling Utility,2012-01-03,0.0964,0.49,209,269.0,0.0,4385
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2889,Regional Income Aggregation,2012-01-03,0.215,0.35,226,271.0,0.0,4385
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),3197,National Accounts Modernization Phase 2,2012-05-21,0.0,0.48,39,132.0,0.0,4524
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),987,Self-Employment Data,2010-10-01,0.0148,0.286,685,546.0,0.0,3926
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),988,Federal Worker Data,2010-10-01,0.0521,0.548,685,638.0,0.0,3926
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),989,Firm Age and Size,2010-10-01,0.462,1.395,685,644.0,86.0,3926
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),991,Job-to-Job Flow,2011-10-03,0.0065,0.388,301,361.0,1097.0,4293
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),992,Web Enhancements,2011-01-03,-0.0162,0.438,574,452.0,61.0,4020
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),993,Delivery of Data Products,2010-10-01,0.0484,2.341,685,728.0,1097.0,3926
006-000003213,694,6,Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1666,IT Refresh,2011-08-15,-0.01,0.275,319,410.0,2.0,4244
006-000003213,694,6,Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1668,Scheduler Replacement Phase I,2011-09-01,-0.0625,0.0075,151,75.0,15.0,4261
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1276,GOES-R Project Office Support,2006-10-01,0.127,33.728,2146,2189.0,2924.0,2465
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1277,GOES-R Core Ground Segment,2007-03-19,-0.41,223.287,1977,2022.0,8492.0,2634
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1278,GOES-R CLASS Archive,2007-06-01,0.0,10.3,1855,1948.0,1095.0,2708
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1279,GOES-R Algorithm Working Group,2007-06-01,0.0,13.0,1825,1948.0,1461.0,2708
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1280,GOES-R Facility Upgrades,2009-07-01,0.021,59.576,1142,1185.0,640.0,3469
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1281,GOES-R Antenna System,2010-07-19,-0.098,60.273,759,804.0,2848.0,3852
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1282,GOES-R Access Subsystem,2010-08-05,0.022,13.673,664,787.0,2134.0,3869
006-000321100,696,6,Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),1289,Prepare NDE System for transitioning to OSPO.,2011-10-01,-0.173,2.0,320,363.0,0.0,4291
006-000321100,696,6,Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),1290,Prepare NDE Production Environment for integration into OSPO.,2011-11-01,-0.116,0.475,289,181.0,112.0,4322
006-000321100,696,6,Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),1291,Deliver Phase 1 Mission Continuity Products from NPP,2011-11-01,0.0,1.58,241,318.0,1.0,4322
006-000321100,696,6,Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),1292,Provide NESDIS HQ support,2012-03-15,0.308,0.4,138,0.0,0.0,4457
006-000321200,697,6,Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1284,NPOESS Preparatory Project,2010-10-01,-9.479,25.4,608,364.0,0.0,3926
006-000321200,697,6,Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1285,DMSP/METRO Project,2011-10-01,17.1886,100.6346,243,151.0,0.0,4291
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1470,NCDC HSPD12 Implementation,2011-06-01,0.0,0.075,365,303.0,0.0,4169
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1471,Climate Data Modernization Program (CDMP),2010-10-01,0.66,6.0,685,730.0,0.0,3926
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1472,NCDC System Virtualization,2011-07-01,0.025,0.175,412,276.0,911.0,4199
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1473,NCDC Security System 5009,2011-04-01,0.0,0.4,503,548.0,0.0,4108
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1474,Climate Data Records,2010-10-01,0.924,20.5,685,728.0,2.0,3926
006-000003202,699,6,Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),1293,Special Projects,2011-10-01,-0.554,6.22,320,365.0,0.0,4291
006-000003202,699,6,Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),1294,Radio Frequency (RF),2011-10-01,0.04,0.15,304,182.0,183.0,4291
006-000003202,699,6,Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),1295,Telemetry and Command/Instruments,2011-10-01,0.031,1.0,272,365.0,0.0,4291
006-000003202,699,6,Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),1296,IT Refresh,2011-10-01,0.01,0.49,272,365.0,0.0,4291
006-000003202,699,6,Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),1297,IT Security,2011-10-01,0.0,1.6,272,365.0,0.0,4291
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1475,AWIPS II Migration,2006-03-01,1.5826,2.52,2360,2222.0,0.0,2251
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1476,N-AWIPS Migration,2007-10-01,0.0,1.0,1781,1826.0,182.0,2830
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1478,Data Delivery,2008-07-01,-0.15799000000000002,2.0,1507,1552.0,730.0,3104
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1479,Thin Client,2008-07-01,0.12691,0.75,1507,1460.0,0.0,3104
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1480,Information Generation,2010-10-01,0.24035,1.25,685,730.0,730.0,3926
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1483,AWIPS,2010-10-01,8.723,63.352,516,364.0,0.0,3926
006-000310200,708,6,Department of Commerce,NOAA/NWS/ Next Generation Weather Radar (NEXRAD-PI) System Product Improvement,1315,Dual Polarization,2007-09-24,-2.3e-05,27.20332,1788,1833.0,449.0,2823
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,1317,Development facility,2009-06-16,0.0,27.6,955,912.0,0.0,3454
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,1318,Research HPC-ORNL,2009-06-18,0.0,49.06,953,909.0,140.0,3456
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,1319,R&D HPCS,2010-08-25,0.0,40.7,581,552.0,3.0,3889
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,1320,Hurricane Forecast Improvement (HFIP),2011-05-10,0.0,2.47,262,206.0,10.0,4147
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,2933,GFDL Data Portal,2011-11-01,0.0,1.383,148,120.0,6.0,4322
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,979,StEPS II Survey IT Development,2011-07-01,-0.6162449999999999,5.248994000000001,413,458.0,0.0,4199
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,980,Census and Related survey IT support for collection and processing,2011-07-01,1.4429290000000001,54.468196999999996,413,457.0,0.0,4199
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,981,COGS survey IT support for collection and processing,2011-07-01,-0.27461599999999997,0.927026,413,457.0,0.0,4199
006-000400800,716,6,Department of Commerce,Census - Field Support Systems,983,2014 R&D of CAPI Device,2011-10-03,0.0,0.3684,318,361.0,339.0,4293
006-000400800,716,6,Department of Commerce,Census - Field Support Systems,984,HSPD 12,2011-10-03,0.076704,0.0774,270,179.0,521.0,4293
006-000401100,717,6,Department of Commerce,Census - MAF/TIGER Enhancements,994,CAUS,2011-05-01,0.016472999999999998,0.341,302,275.0,0.0,4138
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),1962,Prior Year Adjustments for Advice Corrections,2011-07-01,0.044179,0.395841,271,182.0,24.0,4199
006-000400300,724,6,Department of Commerce,Census - Data Access and Dissemination System (DADS),3067,Data Conversion,2011-07-01,-0.219987,0.291797,333,122.0,51.0,4199
006-000051100,725,6,Department of Commerce,Consolidated HCHB IT Infrastructure (CHII),1149,ITCSC help desk,2005-10-01,0.0,3.5,2399,2372.0,1645.0,2100
006-000051100,725,6,Department of Commerce,Consolidated HCHB IT Infrastructure (CHII),1153,Upgrade EDA Network Capacity & Speed,2011-07-01,0.32700999999999997,1.0,364,274.0,183.0,4199
006-000051100,725,6,Department of Commerce,Consolidated HCHB IT Infrastructure (CHII),2878,CAI Integration,2011-10-01,0.0,0.2,242,96.0,31.0,4291
006-000050200,726,6,Department of Commerce,Commerce Business Environment (CBE),1961,C.Award Implementation.,2009-09-30,0.0,0.654,882,842.0,162.0,3560
006-000320100,727,6,Department of Commerce,NOAA/NESDIS/ GOES Ground System,1274,IT Refresh,2011-10-01,0.0,2.495,272,363.0,2.0,4291
006-000320100,727,6,Department of Commerce,NOAA/NESDIS/ GOES Ground System,1275,IT Security,2011-10-01,0.0,1.65,272,363.0,2.0,4291
006-000310300,777,6,Department of Commerce,NOAA/NWS/ Next Generation Weather Radar (NEXRAD) Operations and Maintenance (O&amp;M),1312,NEXRAD Software,2010-09-06,0.0,0.18,570,627.0,154.0,3901
006-000310300,777,6,Department of Commerce,NOAA/NWS/ Next Generation Weather Radar (NEXRAD) Operations and Maintenance (O&amp;M),1313,SPG Software,2011-08-05,0.0,0.18,237,362.0,0.0,4234
006-000310300,777,6,Department of Commerce,NOAA/NWS/ Next Generation Weather Radar (NEXRAD) Operations and Maintenance (O&amp;M),1314,IT Refresh,2011-10-20,0.0,0.04,161,253.0,119.0,4310
006-000731200,782,6,Department of Commerce,NTIA - Radio Spectrum Management - Federal Spectrum Management System (FSMS),1967,FSMS Phase 01 - Prepare &amp; Submit Frequency Proposals,2009-06-01,0.0012900000000000001,6.28632,1176,1034.0,91.0,3439
006-000351100,925,6,Department of Commerce,NOAA/NOAA/ IT Infrastructure,1305,UMS,2011-07-01,0.0,4.8105,396,365.0,0.0,4199
006-000351100,925,6,Department of Commerce,NOAA/NOAA/ IT Infrastructure,1307,NOAALink,2011-04-01,0.0,3.733338,487,548.0,0.0,4108
006-999994060,926,6,Department of Commerce,OS OHRM Human Resource Management System (HRMS),1989,Census Migration,2011-02-21,0.086095,5.165584,546,495.0,39.0,4069
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),847,Configure COTS FPNG,2010-12-15,0.07589,1.29675,609,622.0,0.0,4001
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),849,FPNG UI&I Prototype 1.0,2011-05-27,-0.04999,0.7338100000000001,399,174.0,1.0,4164
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),851,FY11 Manage Program,2011-01-03,1.6636090000000001,2.291,543,270.0,0.0,4020
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),852,Decouple FPNG from Legacy Systems,2011-10-01,1e-05,2.05995,319,454.0,89.0,4291
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),853,FY12 Manage Program,2011-10-03,0.053,1.035,317,361.0,0.0,4293
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),855,FPNG UI&I Stakeholder and Stored Payment Account Management Services,2012-05-01,0.0,4.45,106,303.0,122.0,4504
006-000803100,927,6,Department of Commerce,USPTO Fee Processing Next Generation (FPNG),856,FPNG UI&I Stakeholder and Stored Payment Account Management Reports,2012-05-01,0.0,1.225,106,303.0,122.0,4504
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,879,AIX Server Replacement,2010-07-21,0.0,4.50689,709,513.0,126.0,3854
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,880,AIS Application Readiness Project - Universal Laptop,2010-06-29,0.0,3.8615199999999996,778,647.0,147.0,3832
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,881,Boyers Internet Point of Presence (PoP),2010-02-18,0.0,0.84215,736,391.0,301.0,3701
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,882,Data Center Facilities Management,2010-02-02,0.79379,1.09065,878,451.0,172.0,3685
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,883,FY11 Server Replacement,2010-09-01,-3.99663,4.98266,667,517.0,0.0,3896
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,884,PTONet III Perimeter Network,2010-04-10,-2.72032,0.55328,811,569.0,0.0,3752
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,885,SCMT 1 0,2010-08-03,-0.19196,0.01729,696,414.0,14.0,3867
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,886,Secure OWA,2010-06-24,0.14,0.14,736,620.0,22.0,3827
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,887,Unified Business Collaboration System,2010-03-03,0.005,6.9643,896,566.0,342.0,3714
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,888,Voice System Replacement,2010-08-19,0.0,12.72751,727,804.0,0.0,3883
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,889,PTOFAX 2 0,2010-06-01,0.16169,0.6440600000000001,759,433.0,10.0,3804
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,890,D2D2T,2010-12-09,0.0,2.23265,418,308.0,47.0,3995
006-000801100,928,6,Department of Commerce,USPTO Network and Security Infrastructure,891,Data Center Facilities Management Work Flow,2010-12-09,-0.00396,0.26655999999999996,568,299.0,184.0,3995
